,seconds,dispx,dispy,dispz,temperature,humidity,pressure,oxygen,uv_idx,eulerx,eulery,eulerz,accelx,accely,accelz
20,21.022,-0.6815158272669338,0.43343049031207354,-75.4281782944703,21.450000762939453,51.6474609375,100716.96875,20.580951690673828,0,0.0,0.1875,-0.75,0.0,-0.009999999776482582,-0.4000000059604645
21,22.023,-0.7817309400269515,0.4359404977559705,-83.17653143861921,21.450000762939453,51.6474609375,100715.46875,20.57445526123047,0,0.0,0.1875,-0.75,0.0,0.0,-0.4099999964237213
22,23.024,-0.8844510552309781,0.4334405003118498,-91.32818998138606,21.440000534057617,51.6591796875,100715.90625,20.5744571685791,0,0.0,0.1875,-0.75,-0.009999999776482582,-0.009999999776482582,-0.38999998569488525
23,24.025,-0.9946861777670308,0.42593049797971144,-99.87062890728464,21.440000534057617,51.6591796875,100715.90625,20.5744571685791,0,0.0,0.1875,-0.75,-0.009999999776482582,0.0,-0.3700000047683716
24,25.026,-1.1099313051911015,0.41341049075955544,-108.78881820818324,21.450000762939453,51.669921875,100715.46875,20.5744571685791,0,0.0,0.1875,-0.75,0.009999999776482582,-0.009999999776482582,-0.3700000047683716
25,26.027,-1.2226714301711634,0.39588047865138176,-118.07774788385976,21.450000762939453,51.6806640625,100714.8125,20.5744571685791,0,0.0,0.1875,-0.75,0.0,0.0,-0.3700000047683716
26,27.028,-1.3329065527072161,0.3758454640991993,-127.73491293420311,21.440000534057617,51.6806640625,100715.578125,20.580951690673828,0,0.0,0.1875,-0.75,0.0,0.0,-0.36000001430511475
27,28.029,-1.4431416752432693,0.35581044954701674,-137.7578083591023,21.450000762939453,51.681640625,100715.546875,20.5744571685791,0,0.0,0.1875,-0.75,0.0,0.0,-0.3700000047683716
28,29.03,-1.5533767977793225,0.3357754349948342,-148.1539491588905,21.450000762939453,51.693359375,100715.703125,20.5744571685791,0,0.0,0.1875,-0.75,0.0,0.0,-0.38999998569488525
29,30.031,-1.666116922759384,0.3132354179986429,-158.92834533378968,21.440000534057617,51.669921875,100715.703125,20.578516006469727,0,0.0,0.1875,-0.75,-0.009999999776482582,-0.009999999776482582,-0.36000001430511475
30,31.032,-1.7863720550714723,0.283180393670425,-170.07849188368888,21.450000762939453,51.7041015625,100714.78125,20.578516006469727,0,0.0,0.1875,-0.75,-0.009999999776482582,-0.009999999776482582,-0.38999998569488525
31,32.033,-1.919152199603605,0.24561036201018066,-181.61691381660881,21.450000762939453,51.693359375,100715.375,20.572017669677734,0,0.0,0.1875,-0.75,-0.019999999552965164,0.0,-0.4099999964237213
32,33.034,-2.0644573563557813,0.2055353279059276,-193.55363114045906,21.450000762939453,51.7041015625,100716.5,20.578516006469727,0,0.0,0.1875,-0.75,0.0,0.0,-0.3799999952316284
33,34.035,-2.2147725179959754,0.16546029380167454,-205.87611884721898,21.450000762939453,51.7041015625,100716.8671875,20.578516006469727,0,0.0,0.1875,-0.75,0.0,0.0,-0.3700000047683716
34,35.036,-2.3650876796361704,0.12288025725341234,-218.57185192886794,21.450000762939453,51.693359375,100714.609375,20.5744571685791,0,0.0,0.1875,-0.75,0.0,-0.009999999776482582,-0.3700000047683716
35,36.037,-2.5154028412763645,0.07529021581713277,-231.63582038518368,21.450000762939453,51.693359375,100717.03125,20.580951690673828,0,0.0,0.1875,-0.75,0.0,0.0,-0.36000001430511475
36,37.038,-2.6682230053605673,0.022690169492835567,-245.07052921627732,21.450000762939453,51.693359375,100713.546875,20.587448120117188,0,0.0,0.1875,-0.75,-0.009999999776482582,-0.009999999776482582,-0.38999998569488525
37,38.039,-2.8285581767767978,-0.034919881719479705,-258.88098842237105,21.450000762939453,51.703125,100715.96875,20.580951690673828,0,0.0,0.1875,-0.75,-0.009999999776482582,0.0,-0.36000001430511475
38,39.04,-2.9964083555250536,-0.0950349353758034,-273.0621880032426,21.450000762939453,51.693359375,100716.703125,20.580951690673828,0,0.0,0.1875,-0.75,0.0,0.0,-0.3700000047683716
39,40.041,-3.166763536717318,-0.15514998903212712,-287.6141279588921,21.440000534057617,51.6923828125,100715.078125,20.587448120117188,0,0.0,0.1875,-0.75,0.0,0.0,-0.3799999952316284
40,41.042,-3.337118717909584,-0.21526504268845126,-302.55434329756235,21.440000534057617,51.6923828125,100714.578125,20.580951690673828,0,0.0,0.1875,-0.75,0.0,0.0,-0.41999998688697815
41,42.043,-3.5074738991018486,-0.27287509390076614,-317.90287403507256,21.450000762939453,51.681640625,100714.046875,20.5744571685791,0,0.0,0.1875,-0.75,0.0,0.009999999776482582,-0.4099999964237213
42,43.044,-3.6828390851821307,-0.3254751402250634,-333.65721517131175,21.450000762939453,51.6708984375,100713.046875,20.5744571685791,0,0.0,0.1875,-0.75,-0.019999999552965164,0.0,-0.3799999952316284
43,44.045,-3.8682242810384495,-0.3755701841053522,-349.8023366906828,21.450000762939453,51.6708984375,100717.4375,20.57445526123047,0,0.0,0.1875,-0.75,0.0,0.0,-0.38999998569488525
44,45.046,-4.061124484226793,-0.4256652279856406,-366.33072358538686,21.450000762939453,51.669921875,100716.3046875,20.56795883178711,0,0.0,0.1875,-0.75,-0.009999999776482582,0.0,-0.3700000047683716
45,46.047,-4.261539694747164,-0.475760271865929,-383.23987085531303,21.440000534057617,51.6806640625,100713.84375,20.5744571685791,0,0.0,0.1875,-0.75,-0.009999999776482582,0.0,-0.38999998569488525
46,47.048,-4.469469912599562,-0.5258553157462178,-400.5322835005725,21.450000762939453,51.6806640625,100715.96875,20.587448120117188,0,0.0,0.1875,-0.75,0.0,0.0,-0.3799999952316284
47,48.049,-4.6824101353399765,-0.5759503596265062,-418.2079615211649,21.450000762939453,51.6806640625,100713.484375,20.587448120117188,0,0.0,0.1875,-0.75,-0.009999999776482582,0.0,-0.3799999952316284
48,49.05,-4.900360362968409,-0.6260454035067946,-436.25938991675736,21.440000534057617,51.669921875,100716.0703125,20.587448120117188,0,0.0,0.1875,-0.75,0.0,0.0,-0.36000001430511475
49,50.051,-5.123320595484861,-0.6761404473870833,-454.6790536870168,21.450000762939453,51.669921875,100715.140625,20.587446212768555,0,0.0,0.1875,-0.75,-0.009999999776482582,0.0,-0.3700000047683716
50,51.052,-5.3537958353333375,-0.7262354912673717,-473.4794778399637,21.450000762939453,51.6591796875,100713.15625,20.580951690673828,0,0.0,0.1875,-0.75,-0.009999999776482582,0.0,-0.41999998688697815
51,52.054,-5.597046359896265,-0.7763805801465418,-492.70259734653337,21.450000762939453,51.6591796875,100715.140625,20.56795883178711,0,0.0,0.1875,-0.75,-0.019999999552965164,0.0,-0.4000000059604645
52,53.055,-5.857596644072512,-0.8314856289148478,-512.3075377066015,21.450000762939453,51.6708984375,100716.203125,20.56795883178711,0,0.0,0.1875,-0.75,-0.019999999552965164,-0.019999999552965164,-0.3799999952316284
53,54.056,-6.133176942912812,-0.8966106874591891,-532.2907334417806,21.450000762939453,51.6708984375,100715.2109375,20.56795883178711,0,0.0,0.1875,-0.75,0.0,0.0,-0.3499999940395355
54,55.057,-6.413767246641131,-0.9667457508915487,-552.6321445287862,21.440000534057617,51.6591796875,100715.734375,20.5744571685791,0,0.0,0.1875,-0.75,0.0,0.0,-0.3499999940395355
55,56.058,-6.694357550369448,-1.0368808143239077,-573.3292659675068,21.450000762939453,51.6591796875,100714.9765625,20.580951690673828,0,0.0,0.1875,-0.75,0.0,0.0,-0.3700000047683716
56,57.059,-6.977452856541774,-1.1070158777562666,-594.3921177733178,21.450000762939453,51.669921875,100715.140625,20.587448120117188,0,0.0,0.1875,-0.75,-0.009999999776482582,0.0,-0.3700000047683716
57,58.06,-7.26555816760212,-1.177150941188626,-615.8232049537957,21.450000762939453,51.6591796875,100714.8125,20.587448120117188,0,0.0,0.1875,-0.75,0.0,0.0,-0.36000001430511475
58,59.061,-7.558673483550481,-1.2497910070649938,-637.6225275089403,21.450000762939453,51.6591796875,100715.3125,20.587448120117188,0,0.0,0.1875,-0.75,-0.009999999776482582,-0.009999999776482582,-0.3799999952316284
