Altitude,Temperature
9776,-51.9
9784,-51.96
9792,-52.02
9800,-52.08
9808,-52.14
9816,-52.2
9824,-52.26
9832,-52.32
9840,-52.38
9848,-52.44
9856,-52.5
9864,-52.56
9872,-52.62
9880,-52.68
9888,-52.74
9896,-52.8
9904,-52.86
9912,-52.92
9920,-52.98
9928,-53.04
9936,-53.1
9944,-53.16
9952,-53.22
9960,-53.28
9968,-53.34
9976,-53.4
9984,-53.46
9992,-53.52
10000,-53.58
10008,-53.64
10016,-53.7
10024,-53.76
10032,-53.82
10040,-53.88
10048,-53.94
10056,-54
10064,-54.06
10072,-54.12
10080,-54.18
10088,-54.24
10096,-54.3
10104,-54.36
10112,-54.42
10120,-54.48
10128,-54.54
10136,-54.6
10144,-54.66
10152,-54.72
10160,-54.78
10168,-54.84
10176,-54.9
10184,-54.96
10192,-55
10200,-55
10208,-55
10216,-55
10224,-55
10232,-55
10240,-55
10248,-55
10256,-55
10264,-55
10272,-55
10280,-55
10288,-55
10296,-55
10304,-55
10312,-55
10320,-55
10328,-55
10336,-55
10344,-55
10352,-55
10360,-55
10368,-55
10376,-55
10384,-55
10392,-55
10400,-55
10408,-55
10416,-55
10424,-55
10432,-55
10440,-55
10448,-55
10456,-55
10464,-55
10472,-55
10480,-55
10488,-55
10496,-55
10504,-55
10512,-55
10520,-55
10528,-55
10536,-55
10544,-55
10552,-55
10560,-55
10568,-55
10576,-55
10584,-55
10592,-55
10600,-55
10608,-55
10616,-55
10624,-55
10632,-55
10640,-55
10648,-55
10656,-55
10664,-55
10672,-55
10680,-55
10688,-55
10696,-55
10704,-55
10712,-55
10720,-55
10728,-55
10736,-55
10744,-55
10752,-55
10760,-55
10768,-55
10776,-55
10784,-55
10792,-55
10800,-55
10808,-55
10816,-55
10824,-55
10832,-55
10840,-55
10848,-55
10856,-55
10864,-55
10872,-55
10880,-55
10888,-55
10896,-55
10904,-55
10912,-55
10920,-55
10928,-55
10936,-55
10944,-55
10952,-55
10960,-55
10968,-55
10976,-55
10984,-55
10992,-55
11000,-55
11008,-55
11016,-55
11024,-55
11032,-55
11040,-55
11048,-55
11056,-55
11064,-55
11072,-55
11080,-55
11088,-55
11096,-55
11104,-55
11112,-55
11120,-55
11128,-55
